0,1,Feb 14
1,1,Feb 15
2,1,Feb 16
3,1,Feb 17
4,1,Feb 18
5,1,Feb 19
6,1,Feb 20
7,1,Feb 21
8,1,Feb 22
9,1,Feb 23
10,1,Feb 24
11,1,Feb 25
12,1,Feb 26
13,1,Feb 27
14,1,Feb 28
15,1,Feb 29
16,2,Mar 1
17,2,Mar 2
18,2,Mar 3
19,2,Mar 4
20,3,Mar 5
21,15,Mar 6
22,15,Mar 7
23,49,Mar 8
24,55,Mar 9
25,59,Mar 10
26,60,Mar 11
27,67,Mar 12
28,80,Mar 13
29,109,Mar 14
30,110,Mar 15
31,150,Mar 16
32,196,Mar 17
33,196,Mar 18
34,256,Mar 19
35,285,Mar 20
36,294,Mar 21
37,327,Mar 22
38,366,Mar 23
39,402,Mar 24
40,456,Mar 25
41,495,Mar 26
42,536,Mar 27
43,576,Mar 28
44,609,Mar 29
45,656,Mar 30
46,710,Mar 31
47,779,Apr 1
48,865,Apr 2
49,985,Apr 3
50,1070,Apr 4
51,1173,Apr 5
